Number ,Artist ,Title,Style,Year,"Source (1 = classical, 2 = modern, 3 = nonhuman)","computerOrAnimal (0 = human, 1 = computer, 2 = animal)","Intent (0 = no, 1 = yes)"
1,Durer,Self-Portrait,Northern Renaissance,1500,1,0,1
2,de Vinci,Mona Lisa,Renaissance,1503,1,0,1
3,Michelangelo,The Creation of Adam,Italian Renaissance,1512,1,0,1
4,Bruegel,Tower of Babel,Dutch and Flemish Renaissance,1563,1,0,1
5,Hals,Laughing Cavalier,Baroque,1624,1,0,1
6,Rembrandt,Belshazzar's Feast,Baroque,1635,1,0,1
7,Vermeer,Girl with the Pearl Earring,Dutch Golden Age,1665,1,0,1
8,Ricci,Venus and Cupid,Late Baroque,1700,1,0,1
9,Chardin,Saying Grace,Realism,1740,1,0,1
10,Hogarth,Marriage A-la-Mode,Rococo,1744,1,0,1
11,Gainsborough,Mr. and Mrs. Andrews,Rococo,1750,1,0,1
12,Greuze,The Village Bride,Rococo,1761,1,0,1
13,Fragonard,The Swing,Rococo,1767,1,0,1
14,David,Oath of Horatii,Neoclassical,1784,1,0,1
15,Lebrun,Self-Portrait with Her Daughter,Rococo / Neoclassicism,1789,1,0,1
16,David,The Death of Marat,Neoclassical,1793,1,0,1
17,Girodet,Jean-Baptiste Belley,Romanticism / Neoclassicism,1797,1,0,1
18,Goya,The Sleep of Reason Produces Monsters,Romanticism,1798,1,0,1
19,David,Rape of the Sabine Women,Neoclassical,1799,1,0,1
20,David,Napoleon Crossing the Alps,Neoclassical,1800,1,0,1
21,Girodet,Burial of Atala,Romanticism / Neoclassicism,1808,1,0,1
22,Turner,Snow Storm: Hannibal and his Army Crossing,Romanticism,1812,1,0,1
23,Ingres,Grande Odalisque,Neoclassicism,1814,1,0,1
24,Ward,Gordale Scar,Landscapes / Romanticism,1815,1,0,1
25,Friedrich,Wanderer above the Sea of Fog,German Romanticism,1818,1,0,1
26,Gericault,The Raft of the Medusa,Romanticism,1819,1,0,1
27,Friedrich,Woman at the Window,Romanticism,1822,1,0,1
28,Delacroix,Liberty Leading the People,Romanticism,1830,1,0,1
29,Cole,The Savage State,Pastoralism,1836,1,0,1
30,Mount,The Power of Music ,American Realism,1847,1,0,1
31,Courbet,The Stonebreakers,Social Realism,1850,1,0,1
32,Hunt,The Awakening Conscience,Orientalist / Pre-Raphaelites,1853,1,0,1
33,Manet,Olympia,Impressionism / Realism ,1863,1,0,1
34,Bouquereau,Washerwomen of Fouesnant,Neoclassicism,1869,1,0,1
35,Bouquereau,Birth of Venus,Realism,1879,1,0,1
36,Dubuffet,Propitious Moment ,Art Brut,1901,2,0,1
37,Balla,Automobile in Corsa,Furturist,1913,2,0,1
38,Chirico,The Evil Genius of a King,Metaphysical,1915,2,0,1
39,Beckmann,The Night,New Objectivity,1919,2,0,1
40,Lissitzky,Of Two Squares: A Suprematist Tale in Six Constructions ,Suprematism / Constructivism,1920,2,0,1
41,Soutine,View of Cagnes,Expressionism,1925,2,0,1
42,Schapiro,Big Ox No 2,Abstract Expressionism,1923,2,0,1
43,Arp,Bottle and Bird or Winged Configuration,Surrealism / Constructivism,1925,2,0,1
44,Demuth,I Saw the Number Five in Gold,Futurism / Cubism,1928,2,0,1
45,Magritte,The Treachery of Images,Surrealism,1929,2,0,1
46,Doesburg,Counter - Composition,De Stijl,1930,2,0,1
47,Mondrian,"Composition with Red, Blue, and Yellow",Neo-Plasticism,1930,2,0,1
48,Dali,The Persistence of Memory,Surrealism ,1931,2,0,1
49,Picasso,Girl before a Mirror,Cubism,1932,2,0,1
50,Miro,Painting,Surrealism / Dada / Experimental,1933,2,0,1
51,Stella,Harran II,Abstract Expressionism,1936,2,0,1
52,Picasso,Guernica,Cubism,1937,2,0,1
54,Bacon,Three Studies for Figures at the Base of a Crucifixion,Post-War,1944,2,0,1
53,Pollock,Galaxy ,Abstract Expressionism / Drip Painting,1947,2,0,1
55,Kooning,Attic,Abstract Expressionism,1949,2,0,1
56,Kusama,Untitled,Abstract Expressionism / Minimalism / Pop Art / Feminist Art,1952,2,0,1
57,Matisse,Blue Nude II,Fauvism,1952,2,0,1
58,Oiticica,Metaschema,Neo-Concrete Movement,1957,2,0,1
59,Johns,Three Flags,Abstract Expressionism / Neo-Dada & Pop Art,1958,2,0,1
60,Frankenthaler,The Bay,Abstract Expressionism,1963,2,0,1
61,Sikander,Walled States,Contemporary Art,1969,2,0,1
62,Kanso,Faust,Modern,1976,2,0,1
63,Kiefer,Sulamite,New Symbolism / Neo-Expressionism,1983,2,0,1
64,Martin,Fiesta,Abstract Expressionism,1985,2,0,1
65,Warhol,Campbell's Soup Cans,Pop Art,1987,2,0,1
66,Xiaodong,Voiture de police avec pigeons ,Neo-Realist,1993,2,0,1
67,Rutu,Riding Death in My Sleep,Surrealism,2002,2,0,1
68,Marshall,7am Sunday Morning,Contemporary Art,2003,2,0,1
69,Taaffe,Large Cairene Window,Process - Based Abstraction,2010,2,0,1
70,Fathi,Untitled,Hurufiyya Movement,2013,2,0,1
71,Computer,Flower,Abstract,2017,3,1,0
72,Computer,Cyclone ,Abstract,2017,3,1,0
